Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Somalia","Yield","Eggs, hen, in shell","2020","100mg/An","32574"
"Crops and livestock products","Somalia","Yield","Eggs, hen, in shell","2020","No/An","81"
"Crops and livestock products","South Africa","Yield","Eggs, hen, in shell","2020","100mg/An","121911"
"Crops and livestock products","South Africa","Yield","Eggs, hen, in shell","2020","No/An","230"
"Crops and livestock products","Spain","Yield","Eggs, hen, in shell","2020","100mg/An","183184"
"Crops and livestock products","Spain","Yield","Eggs, hen, in shell","2020","No/An","291"
"Crops and livestock products","Sri Lanka","Yield","Eggs, hen, in shell","2020","100mg/An","143096"
"Crops and livestock products","Sri Lanka","Yield","Eggs, hen, in shell","2020","No/An","256"
"Crops and livestock products","Sudan","Yield","Eggs, hen, in shell","2020","100mg/An","74278"
"Crops and livestock products","Sudan","Yield","Eggs, hen, in shell","2020","No/An","124"
"Crops and livestock products","Suriname","Yield","Eggs, hen, in shell","2020","100mg/An","38748"
"Crops and livestock products","Suriname","Yield","Eggs, hen, in shell","2020","No/An","77"
"Crops and livestock products","Sweden","Yield","Eggs, hen, in shell","2020","100mg/An","198906"
"Crops and livestock products","Sweden","Yield","Eggs, hen, in shell","2020","No/An","324"
"Crops and livestock products","Switzerland","Yield","Eggs, hen, in shell","2020","100mg/An","197405"
"Crops and livestock products","Switzerland","Yield","Eggs, hen, in shell","2020","No/An","328"
"Crops and livestock products","Syrian Arab Republic","Yield","Eggs, hen, in shell","2020","100mg/An","96492"
"Crops and livestock products","Syrian Arab Republic","Yield","Eggs, hen, in shell","2020","No/An","193"
"Crops and livestock products","Tajikistan","Yield","Eggs, hen, in shell","2020","100mg/An","88130"
"Crops and livestock products","Tajikistan","Yield","Eggs, hen, in shell","2020","No/An","160"
"Crops and livestock products","Thailand","Yield","Eggs, hen, in shell","2020","100mg/An","75266"
"Crops and livestock products","Thailand","Yield","Eggs, hen, in shell","2020","No/An","137"
"Crops and livestock products","Timor-Leste","Yield","Eggs, hen, in shell","2020","100mg/An","91069"
"Crops and livestock products","Timor-Leste","Yield","Eggs, hen, in shell","2020","No/An","176"
"Crops and livestock products","Togo","Yield","Eggs, hen, in shell","2020","100mg/An","101137"
"Crops and livestock products","Togo","Yield","Eggs, hen, in shell","2020","No/An","202"
"Crops and livestock products","Tokelau","Yield","Eggs, hen, in shell","2020","100mg/An","45000"
"Crops and livestock products","Tokelau","Yield","Eggs, hen, in shell","2020","No/An","85"
"Crops and livestock products","Tonga","Yield","Eggs, hen, in shell","2020","100mg/An","18481"
"Crops and livestock products","Tonga","Yield","Eggs, hen, in shell","2020","No/An","77"
"Crops and livestock products","Trinidad and Tobago","Yield","Eggs, hen, in shell","2020","100mg/An","30361"
"Crops and livestock products","Trinidad and Tobago","Yield","Eggs, hen, in shell","2020","No/An","55"
"Crops and livestock products","Tunisia","Yield","Eggs, hen, in shell","2020","100mg/An","40805"
"Crops and livestock products","Tunisia","Yield","Eggs, hen, in shell","2020","No/An","77"
"Crops and livestock products","Turkey","Yield","Eggs, hen, in shell","2020","100mg/An","100786"
"Crops and livestock products","Turkey","Yield","Eggs, hen, in shell","2020","No/An","161"
"Crops and livestock products","Turkmenistan","Yield","Eggs, hen, in shell","2020","100mg/An","142817"
"Crops and livestock products","Turkmenistan","Yield","Eggs, hen, in shell","2020","No/An","255"
"Crops and livestock products","Tuvalu","Yield","Eggs, hen, in shell","2020","100mg/An","17273"
"Crops and livestock products","Tuvalu","Yield","Eggs, hen, in shell","2020","No/An","44"
"Crops and livestock products","Uganda","Yield","Eggs, hen, in shell","2020","100mg/An","55974"
"Crops and livestock products","Uganda","Yield","Eggs, hen, in shell","2020","No/An","130"
"Crops and livestock products","Ukraine","Yield","Eggs, hen, in shell","2020","100mg/An","94910"
"Crops and livestock products","Ukraine","Yield","Eggs, hen, in shell","2020","No/An","164"
"Crops and livestock products","United Arab Emirates","Yield","Eggs, hen, in shell","2020","100mg/An","113402"
"Crops and livestock products","United Arab Emirates","Yield","Eggs, hen, in shell","2020","No/An","227"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Yield","Eggs, hen, in shell","2020","100mg/An","137468"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Yield","Eggs, hen, in shell","2020","No/An","235"
"Crops and livestock products","United Republic of Tanzania","Yield","Eggs, hen, in shell","2020","100mg/An","55717"
"Crops and livestock products","United Republic of Tanzania","Yield","Eggs, hen, in shell","2020","No/An","124"
"Crops and livestock products","United States of America","Yield","Eggs, hen, in shell","2020","100mg/An","169276"
"Crops and livestock products","United States of America","Yield","Eggs, hen, in shell","2020","No/An","286"
"Crops and livestock products","Uruguay","Yield","Eggs, hen, in shell","2020","100mg/An","187624"
"Crops and livestock products","Uruguay","Yield","Eggs, hen, in shell","2020","No/An","289"
"Crops and livestock products","Uzbekistan","Yield","Eggs, hen, in shell","2020","100mg/An","113055"
"Crops and livestock products","Uzbekistan","Yield","Eggs, hen, in shell","2020","No/An","202"
"Crops and livestock products","Vanuatu","Yield","Eggs, hen, in shell","2020","100mg/An","43767"
"Crops and livestock products","Vanuatu","Yield","Eggs, hen, in shell","2020","No/An","109"
"Crops and livestock products","Venezuela (Bolivarian Republic of)","Yield","Eggs, hen, in shell","2020","100mg/An","144006"
"Crops and livestock products","Venezuela (Bolivarian Republic of)","Yield","Eggs, hen, in shell","2020","No/An","262"
"Crops and livestock products","Viet Nam","Yield","Eggs, hen, in shell","2020","100mg/An","57984"
"Crops and livestock products","Viet Nam","Yield","Eggs, hen, in shell","2020","No/An","116"
"Crops and livestock products","Yemen","Yield","Eggs, hen, in shell","2020","100mg/An","81374"
"Crops and livestock products","Yemen","Yield","Eggs, hen, in shell","2020","No/An","160"
"Crops and livestock products","Zambia","Yield","Eggs, hen, in shell","2020","100mg/An","59371"
"Crops and livestock products","Zambia","Yield","Eggs, hen, in shell","2020","No/An","114"
"Crops and livestock products","Zimbabwe","Yield","Eggs, hen, in shell","2020","100mg/An","48963"
"Crops and livestock products","Zimbabwe","Yield","Eggs, hen, in shell","2020","No/An","102"
